Wall time,Step,Value
1770727728.2886815,4,-74.5548324584961
1770727739.3083599,6,-90.87693786621094
1770727748.9969509,7,-97.85969543457031
1770727770.0007658,9,-60.793758392333984
1770727789.6753075,11,-20.20796775817871
1770727800.7701848,12,-59.2431640625
1770727805.1551783,13,8.027084350585938
1770727813.3666074,14,-33.23938751220703
1770727815.3305006,15,29.25897216796875
1770727818.7467303,16,112.79046630859375
1770727830.6409461,17,71.05513763427734
1770727840.469221,18,-30.01201629638672
1770727849.324285,19,49.061222076416016
1770727861.3106568,20,94.8420181274414
1770727874.4395015,21,76.8893051147461
1770727883.832176,23,81.13606262207031
1770727892.606216,25,121.259765625
1770727898.3180926,26,136.01486206054688
1770727919.0225408,31,121.4391860961914
1770727921.1234083,32,173.3212127685547
1770727922.2499847,33,161.8529052734375
1770727923.9941936,34,176.1131591796875
1770727926.7805705,35,102.66007232666016
1770727931.328007,37,112.67407989501953
1770727937.2668886,40,177.82301330566406
1770727945.9562683,41,158.47976684570312
1770727948.7070389,43,167.30569458007812
1770727950.2540128,44,145.55911254882812
1770727951.7747135,45,195.5531005859375
1770727953.4174554,46,201.30516052246094
1770727954.8942044,48,221.48391723632812
1770727957.6627655,50,218.36370849609375
1770727958.397452,51,184.1932373046875
1770727961.2812073,54,203.7757568359375
1770727962.5172534,55,203.52659606933594
1770727966.62432,56,177.68511962890625
1770727968.2723532,57,219.69595336914062
1770727971.1696804,58,201.33453369140625
1770727982.3581543,61,186.42369079589844
1770727983.9520133,62,202.3040313720703
1770727985.920428,64,206.64869689941406
1770727987.3851137,65,188.9718017578125
1770727988.5866911,66,204.48545837402344
1770727989.4482815,67,195.2112579345703
1770727990.2732,68,208.9028778076172
1770727990.98494,69,189.453369140625
1770727991.973339,70,168.0994415283203
1770727993.50196,72,221.23416137695312
1770727994.2222052,73,222.6086883544922
1770727995.0365326,74,203.88803100585938
1770727996.5830472,75,201.91539001464844
1770727998.3369403,77,202.85595703125
1770728003.5753996,79,207.4716033935547
1770728005.3027773,80,201.0221710205078
1770728010.7672334,82,223.20706176757812
1770728011.8641043,83,221.5015411376953
1770728015.5410743,85,188.13906860351562
1770728016.2301984,86,186.8990478515625
1770728016.9282982,87,223.43295288085938
1770728018.6171196,88,203.85711669921875
1770728019.239276,89,204.96278381347656
1770728019.8949404,90,222.89291381835938
1770728021.2590804,92,204.67750549316406
1770728021.9055066,93,221.2703857421875
1770728022.916405,94,202.4297332763672
1770728023.8036387,95,202.10508728027344
1770728030.8353958,100,215.78964233398438
1770728041.1024876,101,-169.8279266357422
1770728054.4785044,103,-178.65072631835938
1770728069.5241902,105,-192.1408233642578
1770728077.833034,106,-131.45822143554688
